iter	Passed	Remaining
670	8028	3936
671	8037	3923
672	8046	3909
673	8053	3895
674	8059	3880
675	8068	3867
676	8075	3852
677	8082	3838
678	8089	3824
679	8097	3810
680	8103	3795
681	8109	3781
682	8117	3767
683	8124	3753
684	8130	3738
685	8136	3724
686	8143	3710
687	8150	3696
688	8157	3682
689	8193	3681
690	8227	3679
691	8255	3674
692	8267	3662
693	8278	3650
694	8287	3636
695	8296	3623
696	8304	3610
697	8311	3596
698	8319	3582
699	8333	3571
700	8339	3557
701	8346	3543
702	8353	3529
703	8361	3515
704	8369	3502
705	8376	3488
706	8384	3474
707	8390	3460
708	8396	3446
709	8403	3432
710	8410	3418
711	8416	3404
712	8531	3434
713	8559	3428
714	8571	3416
715	8580	3403
716	8589	3390
717	8598	3377
718	8606	3363
719	8614	3350
720	8623	3336
721	8632	3323
722	8639	3310
723	8647	3296
724	8654	3282
725	8661	3268
726	8668	3255
727	8675	3241
728	8682	3227
729	8689	3213
730	8695	3199
731	8702	3186
732	8709	3172
733	8716	3158
734	8743	3152
735	8777	3148
736	8813	3145
737	8829	3134
738	8838	3121
739	8846	3108
740	8853	3094
741	8862	3081
742	8869	3067
743	8876	3054
744	8883	3040
745	8890	3027
746	8897	3013
747	8904	2999
748	8911	2986
749	8918	2972
750	8925	2959
751	8932	2945
752	8939	2932
753	8946	2918
754	8953	2905
755	8989	2901
756	9028	2898
757	9054	2890
758	9063	2878
759	9072	2864
760	9079	2851
761	9087	2838
762	9094	2824
763	9101	2811
764	9108	2798
765	9115	2784
766	9121	2770
767	9127	2757
768	9134	2743
769	9140	2730
770	9146	2716
771	9153	2703
772	9158	2689
773	9208	2688
774	9245	2684
775	9271	2676
776	9284	2664
777	9294	2652
778	9306	2640
779	9316	2627
780	9325	2615
781	9336	2602
782	9342	2589
783	9350	2576
784	9359	2563
785	9367	2550
786	9375	2537
787	9383	2524
788	9391	2511
789	9398	2498
790	9405	2485
791	9411	2471
792	9419	2458
793	9426	2445
794	9433	2432
795	9439	2419
796	9446	2406
797	9475	2398
798	9521	2395
799	9551	2387
800	9562	2375
801	9573	2363
802	9582	2350
803	9593	2338
804	9602	2325
805	9609	2313
806	9614	2299
807	9622	2286
808	9631	2273
809	9639	2261
810	9646	2247
811	9653	2234
812	9660	2222
813	9666	2208
814	9672	2195
815	9679	2182
816	9685	2169
817	9692	2156
818	9698	2143
819	9704	2130
820	9709	2116
821	9714	2103
822	9745	2095
823	9779	2088
824	9814	2081
825	9832	2071
826	9854	2061
827	9865	2049
828	9874	2036
829	9883	2024
830	9893	2011
831	9901	1999
832	9908	1986
833	9915	1973
834	9922	1960
835	9930	1948
836	9938	1935
837	9945	1922
838	9953	1910
839	9961	1897
840	9968	1884
841	9974	1871
842	9982	1859
843	10042	1856
844	10080	1849
845	10089	1836
846	10096	1823
847	10103	1811
848	10110	1798
849	10117	1785
850	10124	1772
851	10130	1759
852	10136	1746
853	10142	1733
854	10149	1721
855	10155	1708
856	10161	1695
857	10167	1682
858	10172	1669
859	10178	1656
860	10184	1644
861	10190	1631
862	10196	1618
863	10204	1606
864	10212	1593
865	10219	1581
866	10225	1568
867	10231	1555
868	10238	1543
869	10244	1530
870	10266	1520
871	10303	1512
872	10418	1515
873	10475	1510
874	10485	1497
875	10594	1499
876	10606	1487
877	10614	1474
878	10622	1462
879	10629	1449
880	10637	1436
881	10644	1424
882	10652	1411
883	10658	1398
884	10665	1385
885	10671	1373
886	10677	1360
887	10683	1347
888	10689	1334
889	10744	1327
890	10777	1318
891	10790	1306
892	10801	1294
893	10811	1281
894	10821	1269
895	10829	1256
896	10836	1244
897	10843	1231
898	10851	1219
899	10859	1206
900	10865	1193
901	10872	1181
902	10878	1168
903	10885	1155
904	10891	1143
905	10897	1130
906	10903	1118
907	10909	1105
908	10916	1092
909	10922	1080
910	10941	1068
911	10989	1060
912	11027	1050
913	11037	1038
914	11048	1026
915	11057	1014
916	11066	1001
917	11074	989
918	11081	976
919	11088	964
920	11096	951
921	11103	939
922	11111	926
923	11119	914
924	11125	902
925	11133	889
926	11140	877
927	11146	864
928	11152	852
929	11158	839
930	11164	827
931	11170	814
932	11175	802
933	11181	790
934	11187	777
935	11192	765
936	11226	754
937	11274	745
938	11287	733
939	11293	720
940	11300	708
941	11306	696
942	11312	683
943	11319	671
944	11325	659
945	11332	646
946	11441	640
947	11465	628
948	11477	616
949	11487	604
950	11495	592
951	11502	579
952	11510	567
953	11517	555
954	11524	543
955	11531	530
956	11537	518
957	11544	506
958	11551	493
959	11557	481
960	11563	469
961	11570	457
962	11577	444
963	11584	432
964	11590	420
965	11596	408
966	11603	395
967	11630	384
968	11679	373
969	11731	362
970	11741	350
971	11751	338
972	11760	326
973	11768	314
974	11777	301
975	11785	289
976	11792	277
977	11798	265
978	11805	253
979	11812	241
980	11820	228
981	11827	216
982	11833	204
983	11841	192
984	11848	180
985	11855	168
986	11862	156
987	11868	144
988	11874	132
989	11880	120
990	11887	107
991	11893	95
992	11899	83
993	11905	71
994	11911	59
995	11918	47
996	11924	35
997	11930	23
998	11936	11
999	11942	0
